HierCluster,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COGNITION,COLON_SCREEN,COPD,CSMOKING,DENTAL,DEPRESSION,DIABETES,DISABILITY,EMOTIONSPT,FOODINSECU,FOODSTAMP,GHLTH,HEARING,HIGHCHOL,HOUSINSECU,INDEPLIVE,LACKTRPT,LONELINESS,LPA,MAMMOUSE,MHLTH,MOBILITY,OBESITY,PHLTH,SELFCARE,SHUTUTILITY,SLEEP,STROKE,TEETHLOST,VISION
1,9.958498246871592,25.191802751623232,17.893398893517656,32.21017194157578,56.26320008102831,7.316701983872705,11.097599895656211,5.926550230431797,74.06032531124795,82.16472585068509,16.702237957397276,57.09303135888502,7.13042696769573,16.246048340782885,60.176829268292686,25.689499723711297,10.252170485364596,32.16711939518988,23.17003949534278,15.234800803609842,12.625275806020987,19.602967012068795,7.171314630282723,31.45938907091222,12.501074724361482,8.791046933803925,8.60480765864067,33.34151972088596,25.29287368948812,71.90627177700348,19.029656291948687,13.087484261749957,37.056801956158864,13.817205200910701,3.6257641402539895,8.774406232280333,36.369163763066204,3.1170362560112053,15.329094076655052,4.850091476844747
2,8.941842897606993,22.73074402980323,19.46758015485073,30.04000091927901,56.94698760755489,7.229436146531475,10.30022118930019,5.2525600855146575,74.54791289119534,84.03666779560209,13.984458670566386,60.24490333919156,5.66738926771735,13.706820569886661,64.66362038664323,22.763845641065576,9.357658913612669,27.44170582083533,22.327572580008766,12.51638545299271,9.676291889909526,16.47873298249258,6.229516524994615,30.75734393291394,10.760775598521326,7.304106486515817,7.2386640172145045,32.44175010812948,22.84596844658345,75.79639718804921,16.92836271879552,10.960885762656924,34.868115919869844,11.982077492485375,3.0561411616665146,6.96851558748861,34.197539543058,2.7683185262645083,11.359841827768014,4.1031815898199175
3,13.332032919687796,28.35670483318135,15.513622593297425,42.20823578721898,62.59758084874291,6.343197153865793,11.982916146729357,7.460458660272341,77.50949097258872,81.67339227154024,20.975832820537573,54.76083916083916,9.668737090190426,22.634890019150568,41.19580419580419,24.69655527856252,15.410670028871566,40.52945747795569,30.569736980892248,29.90002577016015,26.33171906077537,28.855061295706214,7.9775261407340174,33.23799905983111,22.4557481463079,12.968009454925006,15.661905931289425,38.441643006970935,34.90336983813589,72.28146853146853,21.67342069710535,19.273983968100058,43.9521790303195,17.138617806995097,6.208787525656056,16.7066917874606,42.544405594405596,4.683947963199031,26.206643356643358,8.435535345029658
4,14.27610387260079,25.902494087950313,16.663444192062464,35.86057370638049,58.96365426383987,6.783018199018567,10.934666234124604,6.443853986749421,75.08804318217756,82.59455470809876,18.466920131705823,55.65383944153578,7.876151539818116,18.04019447432527,52.63071553228622,25.550731371130016,12.405611859416968,35.786545452436265,26.1461262977413,20.563985004380065,17.43198332083612,23.75268961215313,7.404315544783121,33.36047521052726,16.270927975787586,10.176198834786423,10.835086208802464,36.4496321698192,30.017462997902317,71.87321116928446,19.98375209415603,15.530467383703355,39.0883554194179,15.196977816800166,4.472811288027085,11.247149220597151,39.55977312390925,3.5421509442565156,18.792495636998254,6.231231854312137
