LocationID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40
59,-3.3430994695430347,-2.3571778059726616,0.23448035950613552,-0.6261243818528046,0.07881001683665394,-0.4820475178135989,-0.0661198552599148,0.3466682188266076,-0.2813054905943899,0.25515854775566027,0.23729410768828488,-0.891568108801155,-0.6295727426498559,-0.4364019003796243,-0.11512576971965778,-0.26075154774737697,0.0401441263270424,-0.2008824297037926,0.07868728954111252,0.032083729573574256,-0.1297720309190182,-0.15861585904478812,-0.0446455252651499,0.05856079832546196,-0.05394616930680539,-0.19084596216198246,-0.0712423879180176,0.0744336543600683,0.0073581162889733015,0.10649099698609323,-0.08833300947653493,0.10913115608057858,-0.02367137333137617,-0.018864762777254948,-0.0431257009840732,-0.14956693714174757,0.056542589495702844,0.10393810175088772,0.04870701365976391,-0.11742270602387475
1001,-0.9769491638161615,-0.6925381196490709,3.4011373820722466,0.5178290159511704,0.7202455062135792,-0.5636388741151219,0.9712308010734144,-0.5822448442786926,0.23322035274765332,0.4054555938120812,-1.1748717629652399,0.15570017731909847,0.5151319139422121,-0.46113245606031306,0.10610315272626135,-0.45134007287188693,0.027184541733690445,0.017418363780048293,0.03282708011363298,0.010579254286145897,-0.174911263087372,0.1876290559864565,-0.2607698865969636,0.016169555793017307,0.16226327875213303,0.07583796537742611,-0.01676140487523763,0.0742565638112575,-0.43254454160659395,-0.05359018926753602,-0.0066577635465073035,0.0038491892490450904,-0.03550538862714557,0.12975075957647583,-0.018672171112240992,-0.041570976487136944,0.03679290341536553,-0.025254954550073025,-0.042849274273743264,-0.043981181152684304
1003,-2.978233571345693,-0.21389914562858084,1.984854367923912,0.300163699242454,1.7541709939175325,-0.5680714752594509,0.09928118070577249,-0.2843269092656575,-0.5004306490200829,0.01707825733952213,-1.0614512091057515,0.4081023778155047,0.4333205962655527,-0.218755380487174,-0.021142198643116523,-0.8190652989509314,-0.0689275409625034,-0.0027338687018831852,-0.4719483900571344,-0.4058342336236778,-0.2606886297217574,0.5763427956280592,-0.06810056011724899,0.07273335424206057,-0.1359119119853511,0.18834396911341128,0.05961737889940559,-0.12927464172655115,-0.21908050203224108,-0.04678507348055561,-0.07939826204199076,0.058723142643383616,-0.10150642276793038,0.19102451643367213,0.1330900196335553,-0.0387772483002964,0.0660309921873115,0.014420961784388668,0.000274554407840057,-0.034416764129972605
1005,9.86180613081433,-2.0372992612828655,1.7792732591428162,0.7469474712366958,-0.4818109646285329,-0.43510094282104367,0.12928998792829013,0.2541762677926148,-0.048615877304093766,0.6224517322411568,-0.5842736092563167,0.3228482864849757,0.7852017308670962,-0.7070568275435347,0.1171141003115431,-0.5466573238181645,0.1932534096807715,-0.2505203343249419,-0.4062079816124426,-0.29559461949777066,-0.24846017935238054,0.10918623585879597,-0.09926241481083618,0.1763561043021362,0.07789841043375889,0.08312825388822218,-0.24708824554993772,-0.33110449652984064,-0.06348009986984497,-0.15899677236809698,0.026236167430860415,-0.030720869529000227,-0.0538671723979449,0.18854929352007815,-0.04357940384105126,0.039646386064437746,0.0039083758685376745,0.08695759399129774,0.01991318507095361,0.09220799760748694
1007,5.759152168119448,-0.12206554249698222,1.0055640467529152,0.6169794887267802,1.4713619301550291,-0.15207240843721095,0.06795844600923813,0.13834203385894833,-0.30266299231675403,0.03803121605376777,-1.0756978733847526,0.6991657777914099,0.9930499421696788,-0.2961560809287373,0.024889563151824643,-0.2969516478373909,-0.028239336399342983,-0.1724589789977125,-0.27436722143040493,-0.31176345896662294,-0.2417286480947271,0.15882128623186456,-0.007246343657164968,0.23527021310312068,0.054663726560155314,-0.0058924701624492905,-0.0560364173119086,-0.07688784117971234,-0.24039463480404796,-0.11887401669417468,0.07049355858768665,0.08488077536320986,-0.0156267835007105,0.20506525469271883,0.019975904281505356,-0.03863591102249384,0.030925395363134347,0.07417387330084022,-0.022009649148064934,0.06000695336760353
1009,0.8968822516691286,0.4543941036364037,0.7177523309603697,-0.15162240255716103,2.067116796351946,-0.23833615368409075,0.06850352874044345,-0.6060691707460638,-0.7154588001690423,-0.03927333218034768,-0.8526137291629974,0.6231168210790784,0.8256466935726133,0.2234386012824965,-0.08030120624156102,-0.08173873515572921,-0.022408892785742263,0.07488277800016449,-0.4034785520742566,-0.2661505038693415,-0.3901395178851973,-0.02836616755018717,-0.027371633697916863,0.014120772681948557,0.10984819440412681,0.0006168399742564581,-0.1339121304059337,-0.043446597503581964,-0.22228653407434637,-0.040488605972583296,-0.060411912631813884,0.020316757052674272,-0.04392736224434286,0.2369955963926273,-0.008712256429282625,-0.01973960306207401,-0.01948164255690908,0.06417564554911995,-0.0034715663720658384,0.0293897746456073
1011,17.99073850815799,-3.4210694916999387,1.6295579683965915,1.2288761856543904,-2.29133818994959,-1.5335768648211088,0.6419164563556663,0.8328743240096143,-0.43646265874309964,1.0123396050710083,-0.6266364016381967,0.49470347175732843,0.09535964516390162,-0.53514275608211,0.016861236259975647,-1.0305576340151843,-0.6740347750048389,-0.5837278970583074,-0.30618435900611235,-0.45766984626476553,-0.3878354045493808,0.0606127407116369,-0.05797088791894317,0.663357723118905,-0.13458909542121866,0.3369767856741918,-0.08881529225385405,-0.4855730367483431,0.017947508006516174,0.17318530513521138,0.015828621535554022,-0.061513077138369426,-0.0638397595868794,0.14597081561990827,-0.15665895780319997,-0.20694860200595008,0.0068363278338810195,0.04594382262991611,0.0162066238861188,0.1097358723215735
1013,7.137478085241886,-1.8466151370478396,2.8783718720728144,0.0432217109103003,-0.39870853359748293,-0.6919779687011888,-0.013651491273645462,0.06932780689359487,-0.012195568354188304,0.6533287440644109,-0.6161463991430067,0.2124121886503534,0.3741913609779859,-0.274440751313088,-0.5111087891794307,-0.04347076268376438,0.05716975148607332,0.2511246937754811,-0.3936923460995555,0.07885492415165134,-0.2621856078866423,0.6179699338083592,-0.21444537016940265,0.1649241241295403,0.01015548726369659,0.1582398269250857,0.044634551490633965,-0.2580955081192118,-0.3087301657292879,-0.10999089900824494,0.03769294215529798,-0.04953236982801291,-0.14226386427663218,0.23945623953081013,0.07579510290026863,-0.05384070594983154,-0.00689251478621997,0.07702715986622558,0.028044662332384986,-0.04144131053589256
1015,3.1226850387702116,-0.35546458612409937,2.113335955056907,0.017433482658890147,0.8391442835818422,-0.05608140054382885,0.42235994301228247,-0.11500775477761542,0.100214247941141,0.8151823073488064,-0.8375229256580202,0.198461139970115,0.17158137805031706,-0.07846552420742664,-0.24987476177472506,-0.3428328347327919,0.30655341257846325,0.1603490632641583,-0.4514939853187846,-0.3065941708705343,-0.2240638813258901,0.5538567384604062,-0.028263476538629755,0.24553195215685966,-0.41280752505412743,-0.05176750309859504,-0.07743702167946499,0.020249258640628435,-0.2723774439366471,-0.1729897028035143,0.19473203342286685,0.000984869697662705,-0.13284314442165787,0.20822300128499124,0.035161439412274016,-0.07650930507643701,0.11241573701893623,0.0957389645810173,0.042255244978303554,0.01187054536670604
1017,5.515279677566411,-1.4687606439094405,2.275969933942845,0.11490116285747635,-0.1203343612764943,-0.7802012145174552,0.0715684649275802,-0.08842200686197736,0.5648452574327639,0.42064173089952517,-0.8425228355928077,0.3350373549360617,0.05509301267950178,-0.08297313281528448,-0.29275157847008404,-0.2050466967796641,0.18306315742600748,-0.06606491510008707,-0.24893991419361225,0.05414300127790926,-0.10807222500881002,0.3281394585579793,0.03045319530623385,0.1477715606490021,-0.030722855423806414,0.03194051530903581,0.06636671157306398,-0.22471184557164997,-0.3143559953454379,-0.031103409436092883,0.07701244490334101,-0.08203153957703387,-0.15254184263230192,0.20595266485645256,0.04317579272424523,0.0018626118393851715,-0.005448286038262227,0.08047783198816674,0.03192613357385841,-0.019361423614566105
